                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3004,                0.60366,                      1,                 1.2337,             0.00023294,             0.00023294,             0.00023294
                      2,                 0.7719,                0.62195,                      1,                 1.0509,                0.00047,                0.00047,                0.00047
                      3,                0.52911,                0.78659,                      1,                0.96916,             0.00070613,             0.00070613,             0.00070613
                      4,                0.47046,                 0.7378,                      1,                 1.0047,             0.00070976,             0.00070976,             0.00070976
                      5,                0.41785,                0.77439,                      1,                0.92985,             0.00070976,             0.00070976,             0.00070976
                      6,                0.39166,                0.77439,                      1,                0.93555,             0.00070835,             0.00070835,             0.00070835
                      7,                0.36915,                0.78049,                      1,                0.95549,             0.00070693,             0.00070693,             0.00070693
                      8,                0.34906,                0.77439,                      1,                0.95329,             0.00070552,             0.00070552,             0.00070552
                      9,                0.35088,                0.87805,                      1,                0.87191,              0.0007041,              0.0007041,              0.0007041
                     10,                0.28707,                   0.75,                      1,                0.92749,             0.00070269,             0.00070269,             0.00070269
                     11,                  0.315,                0.78049,                      1,                0.95964,             0.00070128,             0.00070128,             0.00070128
                     12,                0.28423,                 0.7561,                      1,                 0.9384,             0.00069986,             0.00069986,             0.00069986
                     13,                 0.2787,                0.78049,                      1,                0.92448,             0.00069845,             0.00069845,             0.00069845
                     14,                0.27245,                0.78049,                      1,                0.92521,             0.00069704,             0.00069704,             0.00069704
                     15,                0.26604,                0.84146,                      1,                0.88534,             0.00069562,             0.00069562,             0.00069562
                     16,                0.25762,                0.89634,                      1,                0.85693,             0.00069421,             0.00069421,             0.00069421
                     17,                0.23059,                0.87805,                      1,                0.86572,             0.00069279,             0.00069279,             0.00069279
                     18,                0.26352,                0.79268,                      1,                0.91292,             0.00069138,             0.00069138,             0.00069138
                     19,                0.24683,                0.76829,                      1,                0.97876,             0.00068997,             0.00068997,             0.00068997
                     20,                0.21613,                0.88415,                      1,                0.84766,             0.00068855,             0.00068855,             0.00068855
                     21,                0.22019,                0.81098,                      1,                0.90104,             0.00068714,             0.00068714,             0.00068714
                     22,                 0.2155,                0.92073,                      1,                0.85197,             0.00068573,             0.00068573,             0.00068573
                     23,                0.18242,                0.81707,                      1,                0.87882,             0.00068431,             0.00068431,             0.00068431
                     24,                0.19438,                0.77439,                      1,                0.95011,              0.0006829,              0.0006829,              0.0006829
                     25,                0.20014,                0.85366,                      1,                0.89429,             0.00068148,             0.00068148,             0.00068148
                     26,                 0.1604,                0.93293,                      1,                0.83716,             0.00068007,             0.00068007,             0.00068007
                     27,                0.16085,                0.83537,                      1,                0.88403,             0.00067866,             0.00067866,             0.00067866
                     28,                0.17602,                0.90244,                      1,                0.82658,             0.00067724,             0.00067724,             0.00067724
                     29,                0.18101,                0.88415,                      1,                0.84831,             0.00067583,             0.00067583,             0.00067583
                     30,                 0.1975,                0.82927,                      1,                0.89754,             0.00067442,             0.00067442,             0.00067442
                     31,                0.16408,                0.92683,                      1,                0.84326,               0.000673,               0.000673,               0.000673
                     32,                0.18202,                0.88415,                      1,                 0.8418,             0.00067159,             0.00067159,             0.00067159
                     33,                0.16495,                0.88415,                      1,                0.85189,             0.00067017,             0.00067017,             0.00067017
                     34,                0.12737,                0.88415,                      1,                0.85433,             0.00066876,             0.00066876,             0.00066876
                     35,                0.12983,                0.90854,                      1,                0.84253,             0.00066735,             0.00066735,             0.00066735
                     36,                0.15066,                0.92683,                      1,                0.83325,             0.00066593,             0.00066593,             0.00066593
                     37,                0.14994,                0.85366,                      1,                0.87817,             0.00066452,             0.00066452,             0.00066452
                     38,                0.17671,                0.91463,                      1,                0.84204,             0.00066311,             0.00066311,             0.00066311
                     39,                0.15018,                0.93293,                      1,                  0.823,             0.00066169,             0.00066169,             0.00066169
                     40,                0.13726,                0.90854,                      1,                0.81209,             0.00066028,             0.00066028,             0.00066028
                     41,                0.13519,                0.87195,                      1,                0.84953,             0.00065886,             0.00065886,             0.00065886
                     42,                0.12902,                0.84756,                      1,                0.88224,             0.00065745,             0.00065745,             0.00065745
                     43,                0.14686,                0.91463,                      1,                 0.8234,             0.00065604,             0.00065604,             0.00065604
                     44,                0.12177,                0.89024,                      1,                0.85685,             0.00065462,             0.00065462,             0.00065462
                     45,                0.10827,                0.92073,                      1,                0.81885,             0.00065321,             0.00065321,             0.00065321
                     46,                0.12542,                0.93902,                      1,                0.80762,              0.0006518,              0.0006518,              0.0006518
                     47,                0.10397,                0.90854,                      1,                0.82666,             0.00065038,             0.00065038,             0.00065038
                     48,                0.10115,                0.81707,                      1,                0.93465,             0.00064897,             0.00064897,             0.00064897
                     49,                 0.1233,                0.95122,                      1,                0.80176,             0.00064756,             0.00064756,             0.00064756
                     50,                0.14724,                0.88415,                      1,                0.86971,             0.00064614,             0.00064614,             0.00064614
                     51,                0.09936,                0.89634,                      1,                0.85238,             0.00064473,             0.00064473,             0.00064473
                     52,                0.10456,                0.90244,                      1,                0.88761,             0.00064331,             0.00064331,             0.00064331
                     53,                0.12515,                0.92683,                      1,                0.82528,              0.0006419,              0.0006419,              0.0006419
                     54,                0.12187,                0.90854,                      1,                0.81812,             0.00064049,             0.00064049,             0.00064049
                     55,                0.10506,                0.94512,                      1,                0.78719,             0.00063907,             0.00063907,             0.00063907
                     56,                0.11613,                0.95122,                      1,                0.79964,             0.00063766,             0.00063766,             0.00063766
                     57,                0.14851,                0.93902,                      1,                0.81649,             0.00063625,             0.00063625,             0.00063625
                     58,                0.11171,                0.93902,                      1,                 0.7981,             0.00063483,             0.00063483,             0.00063483
                     59,                0.11393,                0.96341,                      1,                0.78947,             0.00063342,             0.00063342,             0.00063342
                     60,                0.11022,                0.97561,                      1,                0.77531,               0.000632,               0.000632,               0.000632
                     61,                0.09923,                0.96951,                      1,                0.78223,             0.00063059,             0.00063059,             0.00063059
                     62,                0.09327,                0.95122,                      1,                0.78784,             0.00062918,             0.00062918,             0.00062918
                     63,                 0.0851,                0.89634,                      1,                0.81763,             0.00062776,             0.00062776,             0.00062776
                     64,                0.11664,                0.90244,                      1,                0.81258,             0.00062635,             0.00062635,             0.00062635
                     65,                0.08362,                0.96951,                      1,                0.78483,             0.00062494,             0.00062494,             0.00062494
                     66,                0.11167,                0.93293,                      1,                0.79118,             0.00062352,             0.00062352,             0.00062352
                     67,                0.08823,                0.96341,                      1,                0.77596,             0.00062211,             0.00062211,             0.00062211
                     68,                0.08762,                0.95122,                      1,                 0.8103,             0.00062069,             0.00062069,             0.00062069
                     69,                0.10062,                0.95122,                      1,                0.83553,             0.00061928,             0.00061928,             0.00061928
                     70,                0.09052,                0.96341,                      1,                0.78052,             0.00061787,             0.00061787,             0.00061787
                     71,                0.09618,                0.96341,                      1,                0.78198,             0.00061645,             0.00061645,             0.00061645
                     72,                0.11382,                0.82927,                      1,                0.94588,             0.00061504,             0.00061504,             0.00061504
                     73,                0.10212,                0.92073,                      1,                0.85164,             0.00061363,             0.00061363,             0.00061363
                     74,                0.09135,                0.93293,                      1,                0.81657,             0.00061221,             0.00061221,             0.00061221
                     75,                0.05655,                0.96951,                      1,                0.77148,              0.0006108,              0.0006108,              0.0006108
                     76,                0.07813,                0.92683,                      1,                0.80054,             0.00060938,             0.00060938,             0.00060938
                     77,                 0.0771,                0.92683,                      1,                0.80094,             0.00060797,             0.00060797,             0.00060797
                     78,                0.07525,                0.93902,                      1,                0.80916,             0.00060656,             0.00060656,             0.00060656
                     79,                0.06728,                0.93902,                      1,                0.83545,             0.00060514,             0.00060514,             0.00060514
                     80,                0.10517,                0.91463,                      1,                0.81901,             0.00060373,             0.00060373,             0.00060373
                     81,                0.10256,                0.95122,                      1,                0.79924,             0.00060232,             0.00060232,             0.00060232
                     82,                0.09258,                0.92073,                      1,                0.82064,              0.0006009,              0.0006009,              0.0006009
                     83,                 0.0764,                0.89634,                      1,                0.82829,             0.00059949,             0.00059949,             0.00059949
                     84,                0.08998,                0.96341,                      1,                0.78654,             0.00059807,             0.00059807,             0.00059807
                     85,                0.08679,                0.84756,                      1,                0.88778,             0.00059666,             0.00059666,             0.00059666
                     86,                 0.0697,                0.90854,                      1,                0.82267,             0.00059525,             0.00059525,             0.00059525
                     87,                0.06699,                0.96341,                      1,                0.78109,             0.00059383,             0.00059383,             0.00059383
                     88,                0.09658,                0.95732,                      1,                0.79102,             0.00059242,             0.00059242,             0.00059242
                     89,                 0.1055,                0.93902,                      1,                0.82992,             0.00059101,             0.00059101,             0.00059101
                     90,                0.10241,                0.93293,                      1,                0.80949,             0.00058959,             0.00058959,             0.00058959
                     91,                 0.0734,                0.94512,                      1,                0.83805,             0.00058818,             0.00058818,             0.00058818
                     92,                0.08133,                0.96951,                      1,                0.78581,             0.00058677,             0.00058677,             0.00058677
                     93,                0.06586,                0.90244,                      1,                0.82202,             0.00058535,             0.00058535,             0.00058535
                     94,                0.08997,                0.91463,                      1,                0.81421,             0.00058394,             0.00058394,             0.00058394
                     95,                0.08152,                0.92683,                      1,                0.86165,             0.00058252,             0.00058252,             0.00058252
                     96,                0.09847,                0.93902,                      1,                0.79053,             0.00058111,             0.00058111,             0.00058111
                     97,                0.07098,                0.93902,                      1,                0.79915,              0.0005797,              0.0005797,              0.0005797
                     98,                0.06508,                0.89024,                      1,                0.85205,             0.00057828,             0.00057828,             0.00057828
                     99,                0.08937,                0.86585,                      1,                0.89901,             0.00057687,             0.00057687,             0.00057687
                    100,                0.06439,                0.93902,                      1,                0.84163,             0.00057546,             0.00057546,             0.00057546
                    101,                0.06083,                0.93293,                      1,                0.80322,             0.00057404,             0.00057404,             0.00057404
                    102,                0.07101,                0.89024,                      1,                0.82967,             0.00057263,             0.00057263,             0.00057263
                    103,                0.07576,                0.93293,                      1,                0.80078,             0.00057121,             0.00057121,             0.00057121
                    104,                0.08718,                0.89634,                      1,                 0.8527,              0.0005698,              0.0005698,              0.0005698
                    105,                 0.0649,                0.95732,                      1,                 0.7832,             0.00056839,             0.00056839,             0.00056839
                    106,                0.06903,                0.94512,                      1,                0.80501,             0.00056697,             0.00056697,             0.00056697
                    107,                0.06611,                0.94512,                      1,                 0.8068,             0.00056556,             0.00056556,             0.00056556
                    108,                0.06466,                0.92683,                      1,                0.81226,             0.00056415,             0.00056415,             0.00056415
                    109,                0.07881,                0.95122,                      1,                0.78385,             0.00056273,             0.00056273,             0.00056273
                    110,                0.07637,                0.91463,                      1,                0.82015,             0.00056132,             0.00056132,             0.00056132
